Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,Sales_Lag1,Sales_RollingMean4,WeekOfYear,IsThanksgiving,Predicted_Sales,Recommendation
1,2012-04-06,1899676.88,0,70.43,3.891,221.4356112,7.143,2012,4,14,1649604.63,1628394.16,14,0,1607129.3782122266,Maintain current stock and price
1,2012-04-13,1621031.7,0,69.07,3.891,221.5102105,7.143,2012,4,15,1899676.88,1684455.59,15,0,1724498.137407469,Maintain current stock and price
1,2012-04-20,1521577.87,0,66.76,3.877,221.5640737,7.143,2012,4,16,1621031.7,1670345.32,16,0,1643005.2845118719,Maintain current stock and price
1,2012-04-27,1468928.37,0,67.23,3.814,221.6179368,7.143,2012,4,17,1521577.87,1672972.77,17,0,1631487.739932957,Maintain current stock and price
1,2012-05-04,1684519.99,0,75.55,3.749,221.6718,7.143,2012,5,18,1468928.37,1627803.705,18,0,1570848.5602193126,Maintain current stock and price
1,2012-05-11,1611096.05,0,73.77,3.688,221.7256632,7.143,2012,5,19,1684519.99,1574014.4825,19,0,1556968.4571015476,Maintain current stock and price
1,2012-05-18,1595901.87,0,70.33,3.63,221.742674,7.143,2012,5,20,1611096.05,1571530.57,20,0,1555300.4045636647,Maintain current stock and price
1,2012-05-25,1555444.55,0,77.22,3.561,221.744944,7.143,2012,5,21,1595901.87,1590111.57,21,0,1588206.6521520065,Maintain current stock and price
1,2012-06-01,1624477.58,0,77.95,3.501,221.7472139,7.143,2012,6,22,1555444.55,1611740.615,22,0,1593695.5176641059,Maintain current stock and price
1,2012-06-08,1697230.96,0,78.3,3.452,221.7494839,7.143,2012,6,23,1624477.58,1596730.0125000002,23,0,1592071.8186114982,Maintain current stock and price
1,2012-06-15,1630607.0,0,79.35,3.393,221.7626421,7.143,2012,6,24,1697230.96,1618263.74,24,0,1615382.527934455,Maintain current stock and price
1,2012-06-22,1527845.81,0,78.39,3.346,221.8030211,7.143,2012,6,25,1630607.0,1626940.0225,25,0,1609608.5676937771,Maintain current stock and price
1,2012-06-29,1540421.49,0,84.88,3.286,221.8434,7.143,2012,6,26,1527845.81,1620040.3375,26,0,1595560.5735171714,Maintain current stock and price
1,2012-07-06,1769854.16,0,81.57,3.227,221.8837789,6.908,2012,7,27,1540421.49,1599026.315,27,0,1586859.326065001,Maintain current stock and price
1,2012-07-13,1527014.04,0,77.12,3.256,221.9241579,6.908,2012,7,28,1769854.16,1617182.115,28,0,1614165.221358809,Maintain current stock and price
1,2012-07-20,1497954.76,0,80.42,3.311,221.9327267,6.908,2012,7,29,1527014.04,1591283.875,29,0,1580124.5859561996,Maintain current stock and price
1,2012-07-27,1439123.71,0,82.66,3.407,221.9412954,6.908,2012,7,30,1497954.76,1583811.1124999998,30,0,1576216.991106545,Maintain current stock and price
